feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,id
0.022672476,-0.046619046,-0.26499924,0.002058354,-0.24633868,0.16368484,0.20666814,0.47025284,-0.42931354,-0.0871766,0.028013734,0.72572815,-0.4092375,0.17702504,0.18131913,-0.4846848,28
-0.034510635,-0.15091716,0.31124744,0.553234,0.16395648,0.11778161,0.58624625,-0.057971988,-0.4857349,-0.100955985,0.098880865,0.5324276,-0.28350675,-0.571461,-0.11914745,-0.544009,30
-0.37325132,0.10718305,-0.37937945,-0.01921335,0.19044867,0.07469232,0.31627,-0.06867516,-0.7173736,-0.35609186,-0.0739902,-0.028135143,0.041219823,-0.71048665,0.593704,-0.7055461,111
-0.39929664,-0.17042954,0.014412535,0.8821387,-0.58831817,0.06322877,0.35125715,0.009444735,-0.4564466,0.45416507,-0.21473402,-0.10363228,-0.042764526,0.3027262,0.089273386,-0.5405208,143
0.20909096,-0.2665707,0.010041197,0.4993807,0.4480129,0.7280476,-0.07791501,0.103958264,-0.11544055,0.3692298,-0.5960337,-0.49854907,-0.25542206,0.61544144,0.54641706,0.014236202,175
-0.5391656,0.11143865,-0.23944956,0.16487367,-0.3559178,0.06982958,0.22109206,0.594132,-0.22443381,0.06605967,0.08282908,0.1965152,-0.79235244,0.7892175,-0.04790264,-0.3280049,191
-0.49892047,-0.1351163,0.17435929,-0.040647287,0.15023471,0.06799541,0.62908113,0.049736224,-0.7009327,0.03902165,0.042538814,0.110640846,0.26962218,-0.0022967153,0.7609093,-0.7138634,197
0.7076379,0.031463023,-0.16412275,0.5122273,0.6290723,0.5457012,-0.25539377,-0.10589091,-0.6198075,0.7742802,-0.1922952,-0.036070764,0.1939356,0.20403785,0.42600167,-0.15417548,199
0.5968596,0.029362548,-0.6898793,0.8218305,-0.076395966,0.01971539,-0.02502181,-0.04105852,-0.18749505,0.5676241,0.33804315,0.45187443,-0.40706465,0.09291287,-0.0068951715,-0.018398888,241
0.5499171,-0.19840528,-0.33499098,0.46382588,-0.104104854,-0.20541233,0.091733634,-0.044777118,-0.42326427,0.018276323,-0.41548815,0.7572674,-0.33581942,0.17767808,0.052340716,-0.3893334,257
-0.33428717,-0.1337424,-0.690819,-0.5079205,0.29168236,0.0031397084,0.502881,0.14362106,-0.72279626,-0.49042183,0.47622204,0.31684124,-0.035981547,-0.45816234,0.75827134,-0.74724835,273
-0.27284524,-0.16129035,-0.3023598,0.010111642,-0.22616991,0.74436,0.34484237,0.4489877,-0.040161468,-0.41418278,0.10767906,-0.16953489,-0.5951674,-0.09561122,0.5058044,-0.6296662,290
-0.14766523,0.010194945,-0.59508413,-0.2994852,0.32821962,0.48473808,0.46431738,0.010563633,-0.576624,-0.4266441,-0.53986233,-0.70063585,-0.16655174,-0.48793033,-0.16433826,-0.8684042,295
-0.030944303,-0.15148175,0.3355631,0.6844946,0.2332389,-0.0004719346,0.47550702,-0.2467091,0.47326913,-0.42491835,-0.12910745,0.5709073,-0.61217624,-0.17179053,-0.06898067,-0.71032906,299
-0.3043534,-0.21898529,0.00050252664,0.5748204,0.22511207,0.49553838,-0.018698657,0.45540488,0.3564904,0.19087315,-0.14836337,0.102217816,-0.089697674,-0.18343014,-0.034523755,-0.6909762,312
-0.21206161,0.05136643,0.48212948,-0.053090036,0.24359278,0.18354236,0.8418715,0.25081843,-0.7571085,0.14681327,-0.43766767,0.5410773,0.57045645,-0.3793521,-0.16920385,-0.74683005,313
-0.24249665,-0.043849546,-0.1590151,0.08061393,0.35026246,0.80415225,0.5944974,0.61306304,0.07503111,-0.6191124,0.15168658,-0.1898717,-0.02225651,0.5640564,-0.14810827,-0.80761963,329
-0.3260253,-0.29639956,0.02382203,0.34202608,0.058458302,0.29617587,0.31817737,-0.30429712,-0.6043272,-0.050681856,-0.03396689,-0.3933248,-0.36979133,0.22190012,0.3440485,-0.67914313,330
-0.15056777,-0.4084498,0.32185045,0.38552722,0.5258671,0.7280066,0.19488086,0.45442483,-0.03805918,-0.30655333,-0.24995297,-0.16442645,-0.34145597,0.2585333,0.044762373,-0.54617316,331
-0.35835496,-0.13025865,-0.6337403,-0.6412095,0.11747187,-0.25037476,0.3551255,0.27350673,-0.64148116,-0.10600971,0.32191548,0.5842969,-0.35095844,-0.42150322,0.6964107,-0.6269663,334
0.085806675,0.16266441,0.31039193,0.89685446,0.22038856,0.36390528,0.03843438,-0.170403,-0.33774027,0.15694094,0.18866982,0.20863202,0.059857395,-0.23268467,0.58654135,-0.58941376,357
0.07132673,0.3908519,-0.101242445,0.44024473,0.5156069,-0.30763012,0.6967974,0.36904442,0.092816405,-0.36979368,-0.18938568,0.42041332,-0.3024178,-0.108367085,0.08668531,-0.45335168,361
-0.44358358,-0.20162505,-0.13752931,-0.096416645,-0.3108694,-0.062492408,0.51250964,0.32333523,-0.78431374,0.34938464,0.08339778,0.26296234,0.038112346,0.06724606,0.77362096,-0.47544324,406
-0.24314712,-0.28115717,-0.07313177,0.6837235,0.6479789,0.42691934,-0.01898342,0.27025822,0.3865933,-0.358818,-0.26558125,-0.1601721,0.1805781,0.022105904,0.35537443,-0.74084455,413
0.46520633,-0.31489703,0.2681253,0.6739439,-0.13404293,0.21277857,0.16891661,0.39871743,-0.56293494,0.44038177,0.027946386,0.43357402,-0.012960826,0.1833349,0.08815104,-0.5541638,442
0.5694982,0.087885,0.10536594,0.62153095,-0.03486191,0.39463553,0.27589923,0.40443498,0.12495468,-0.033237174,0.3667998,0.70720863,0.030306142,0.122002214,0.24273351,-0.68145853,443
